#domain
hospital
#levelname
MATheZoo
#colors
blue: 0, 4, A
green: 1, 2, B
purple: 3, 8, C
orange: 5, D
pink: 6, 9, Y, X
red: 7
#initial
++++++++++++++++++++++++++
+0       ++1 + + 6       +
+        +  ++B+        X+
+        ++ ++ +        Y+
+              + 9       +
+++++++++++ ++++++++++++++
++++++D++++ +++++++ C  +++
++++++ ++++ +++++++ ++ +++
+4A       + +2 C+C+ ++   +
+         +A+   +      + +
+A        +++B 3+ + +    +
+A        +8+++++ + +    +
+5A       +        7    ++
++++++++++++++++++++++++++
#goal
++++++++++++++++++++++++++
+0       ++ A+B+        X+
+        + 1++ +6        +
+        ++ ++ +9        +
+              +        Y+
+++++++++++ ++++++++++++++
++++++ ++++ +++++++    +++
++++++ ++++ +++++++ ++ +++
+4  A     + +C 3+7+ ++  8+
+   A     + +   +      + +
+        D+++2 B+ + +    +
+   A     + +++++ + +    +
+5  A     +C            ++
++++++++++++++++++++++++++
#end
#clientname
vAIkings
#actions
199803902:Move(S);NoOp;Move(S);Move(N);Push(E,E);NoOp;Move(S);NoOp;Move(S);NoOp
73477417517:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
73569883965:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
73690822925:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
73785339422:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
73879999681:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
73977926406:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
74069992697:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
74213413242:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
74312851130:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
74404157096:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
74527583698:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
74620519078:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
74711756418:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
74826100799:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
74921994742:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
75017328428:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
75114005847:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
75208247529:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
75350818945:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
75444501533:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
75541003853:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
75674461844:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
75771778331:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
75863095659:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
75981088677:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
76075390468:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
76174268234:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
76271406129:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
76367228565:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
76507071530:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
76600638505:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
76691894332:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
76817190270:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
76908962366:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
77005087856:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
77120036629:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
77213716027:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
77310362517:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
77405894037:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
77497384465:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
77636369681:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
77729068750:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
77820465683:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
77945434067:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
78036795334:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
78128505751:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
78245755767:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
78345896497:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
78441449321:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
78541170894:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
78632812323:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
78772265600:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
78864998336:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
78958266666:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
79083467688:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
79179534222:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
79272243662:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
79389426438:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
79485248093:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
79581078449:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
79685265628:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
79779617819:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
79920997460:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
80015275772:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
80105676581:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
80230783973:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
80321628799:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
80414166781:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
80529470004:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
80624108552:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
80718214276:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
80812779921:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
80903492382:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
81060965758:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
81154329249:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
81246798490:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
81367530006:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
81465673040:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
81561173637:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
81676410656:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
81769562111:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
81865051820:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
81961262961:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
82051472905:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
82193595310:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
82287600084:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
82382598469:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
82507339462:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
82599109618:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
82690727793:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
82809800235:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
82904444406:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
83000792650:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
83096046740:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
83186855566:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
83328012199:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
83420647701:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
83513035197:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
83635393354:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
83730461408:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
83821019441:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
83937402240:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
84034947192:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
84129621043:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
84227706620:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
84320582999:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
84460457301:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
84557671318:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
84649576753:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
84772968804:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
84865663829:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
84958303245:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
85074788358:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
85173349174:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
85274127479:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
85369369210:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
85461008055:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
85602624832:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
85697399529:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
85794431707:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
85918606846:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
86012238370:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
86104387923:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
86223987403:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
86326075875:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
86425236460:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
86523251519:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
86621096863:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
86761033052:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
86854967579:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
86949300300:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
87076566957:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
87168236494:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
87262371288:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
87379979470:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
87474731279:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
87570452674:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
87666057863:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
87757395309:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
87897723948:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
87991440984:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
88088942850:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
88203977933:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
88302422528:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
88395234185:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
88512870202:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
88608692110:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
88705391204:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
88804550137:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
88897587849:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
89041200001:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
89135334584:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
89228692542:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
89352591955:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
89448077432:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
89559173391:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
89676389693:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
89771564555:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
89866091936:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
89961906126:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
#end
#solved
false
#numactions
882
#time
89961906126
#end
